zi,u_id,traditional,pinyin,strokes,meaning,notes,is_active,category,sub_category,is_radical,zi_count,ts,alias
走,196,,zǒu,7,walk,赶 起 超 越,Y,人-生理,foot,Y,87,,
足,197,,zú,7,foot,跃 跑 路 跳,Y,人-生理,foot,Y,107,,
身,198,,shēn,7,body,躬 躺 躲,Y,人-生理,body,Y,9,,
车,199,車,chē,4,vehicle / car / cart,轧 轨 软 轮 轻,Y,社会-,transport,Y,119,,
辛,200,,xīn,7,bitter,辜 辣 辞 辟,Y,人-生理,tongue,Y,18,,
辰,201,,chén,7,day time,晨 辱 振 震,Y,数理-时空,time,Y,20,,
辶,202,,chuò,3,walk move,道 边 达 过 运 远 近 ,Y,人-生理,foot,Y,143,2024-07-07 16:52:55,走
邑,204,,yì,7,city,那 邦 邮 郊 邕,Y,社会-,org,,8,,
酉,205,,yǒu,7,wine vessel,酒 酱 酷,Y,人-生理,food,Y,76,,
釆,206,,biàn,7,collect,采 釉 释,Y,植物-,,Y,4,,
里,207,,lǐ,7,mile / inside,重 野 量,Y,数理-度量,,Y,20,,
金,209,,jīn,8,metal / gold,鉴鑫,Y,天文-金,,Y,27,2024-07-07 16:52:18,
钅,208,釒 ,jīn,5,metal,银 钉 钟 钥,Y,天文-金,,,263,2024-02-18 20:27:05,金
长,210,長,cháng,4,long / grow,张 帐 账,Y,概念-,,Y,4,,
门,211,門,mén,3,gate,间 闪 闯 闭 闹,Y,社会-,housing,Y,22,,
阜,212,,fù,8,mound,,Y,地理-,,,1,,
阝,203,,yì,3,terrain / hill / city / town,那 邦 邮 郊 邕,Y,地理-,,,296,,
隶,214,,lì,8,slave,,Y,社会-,,Y,11,,
隹,215,,zhuī,8,short-tailed bird,难 雀 集 雇,Y,动物-,bird,Y,83,,
雨,216,,yǔ,8,rain,雪 零 雷 雾,Y,天文-,,Y,55,,
青,217,,qīng,8,blue/green,靓 靖 静,Y,数理-颜色,,Y,21,2024-07-07 17:07:25,靑
非,218,,fēi,8,wrong / negate,靠 靡,Y,概念-,,,40,,
面,219,,miàn,9,face,靥 腼,Y,人-生理,face,Y,9,2024-07-07 19:52:57,靣
革,220,,gé,9,leather,靴 鞋,Y,社会-,clothing,Y,69,,
韦,221,韋,wěi,4,soft leather,韧 韩 韫,Y,社会-,clothing,,8,2024-02-18 20:29:25,
韭,222,,jiǔ,9,leek,瀣,Y,植物-,,,4,,
音,223,,yīn,9,sound,章 竟 歆 韵,Y,社会-,music,Y,,,
页,224,頁,yè,6,page,顶 项 须 顺,Y,人-生理,face,Y,122,,
风,225,風,fēng,4,wind,飒 飓 飘,Y,天文-,,Y,5,,
飞,226,飛 ,fēi,3,fly,-,Y,动物-,bird,Y,,,
食,227,,shí,9,eat / food,餐,Y,人-生理,food,,11,,
饣,228,飠 ,shí,3,eating food cooking,饭 饥 饮 饱 饿  饰,Y,人-生理,food,Y,78,2024-02-18 20:30:13,食
首,229,,shǒu,9,head,馗,Y,人-生理,head,Y,2,,
香,230,,xiāng,9,fragrant,馥 馨,Y,人-生理,nose,,2,,
马,231,馬,mǎ,3,horse,驰 驹 骂 骇 驳,Y,动物-,mammal,Y,138,,
骨,232,,gǔ,9,bone,骸 骷 骰,Y,人-生理,bone,Y,34,,
高,417,,gao,10,high,,Y,概念-,,Y,,,
髟,234,,biāo,10,long hair,髦 鬃 鬓,Y,动物-,hair,,40,,
鬥,235,,dòu,10,fight,鬧 鬦,Y,社会-,military,,8,,
鬯,236,,chàng,10,sacrificial wine,-,Y,社会-,food,,2,,
鬲,237,,lì,10,cauldron,鬳 鬴 鬵 鬷,Y,社会-,tool,,20,,
鬼,238,,guǐ,9,ghost,魂 魄 魅,Y,社会-,faith,Y,34,,
鱼,239,魚,yú,8,fish,鲜 鲈 鲑,Y,动物-,fish,Y,110,,
鸟,240,鳥,niǎo,5,bird,鸡 鸦 鸭,Y,动物-,bird,Y,134,,
鹿,242,,lù,12,deer,麒 麓 麋,Y,动物-,mammal,,28,,
麦,243,麥,mai,7,wheat,麸,Y,植物-,food,Y,1,2024-02-18 20:35:52,
麻,244,,má,11,hemp,麾 磨 魔,Y,植物-,clothing,Y,15,,
黄,245,,huáng,11,yellow,横 磺 簧,Y,数理-颜色,,,,2024-02-18 20:36:33,黃
黍,246,,shǔ,12,millet,黎 黏,Y,植物-,,,6,,
黑,247,,hēi,12,black,墨 黔 默 黛,Y,数理-颜色,,Y,40,,
黹,248,,zhǐ,12,embroidery,,Y,radical,,Y,4,,
黾,249,,měng,8,frog,鼋,Y,动物-,Amphibian,,2,2024-07-07 19:53:59,黽
鼎,250,,dǐng,11,tripod,,Y,社会-,tool,,3,,
鼓,251,,gǔ,13,drum,,Y,社会-,music,,9,,
鼠,252,,shǔ,13,rat,,Y,动物-,mammal,,18,,
鼻,253,,bí,14,nose,鼾 齁,Y,人-生理,nose,,5,,
齐,254,齊,qí,6,neat,挤 剂 济,Y,概念-,,Y,5,2024-02-18 20:37:44,
齿,255,齒,chǐ,8,tooth,龄 龅,Y,人-生理,tooth,Y,43,2024-02-18 20:38:10,
龙,256,龍,lóng,5,dragon,龚 笼 珑,Y,动物-,,Y,9,2024-02-18 20:39:08,
龟,257,龜,guī,7,turtle,https://en.wikipedia.org/wiki/Radical_213,Y,动物-,reptile,,,2024-02-18 20:40:30,
龠,258,,yuè,17,flute,,Y,社会-,music,,11,,
龴,267,,yǐ,2,second,,Y,radical,,Y,1,,
龺,421,,,8,,,Y,radical,,Y,,,
𤴔,131,,pǐ,5,foot,疏 疎,Y,人-生理,,Y,,2025-01-25 21:22:32,
